26843, 25766, 24654, 30573, 25716, 28351, 35120, 21325, 24414, 37697, 
59095, 42681, 53585, 33462, 44722, 38826, 43847, 90831, 53034, 58131, 
163485, 162333, 92289, 59760, 87647, 85222, 79958, 92009, 65504, 71013, 
130103, 92969, 88634, 94183, 92245, 126014, 84911, 107991, 98046, 84533, 
96521, 133160, 149924, 144295, 106347, 115016, 144374, 140151, 116863, 114563, 
178511, 156992, 157286, 183879, 187410, 279282, 148389, 148713, 173108, 186386, 
234941, 216661, 205546, 234309, 166355, 219595, 175596, 190670, 181762, 199496, 
217353, 239202, 212485, 222032, 252641, 199099, 205684, 208957, 224190, 228201, 
247045, 273021, 251693, 232254, 310040, 380632, 351234, 236210, 251432, 424007, 
385993, 296774, 257882, 304574, 282679, 332128, 258458, 330272, 250288, 249534, 
