29100, 24293, 24214, 18952, 19817, 16564, 19041, 23675, 18808, 16864, 
115477, 59680, 48820, 76655, 53599, 65138, 38303, 40007, 38924, 38254, 
121787, 98931, 56648, 57858, 57142, 61686, 93032, 79984, 100813, 134804, 
164122, 81961, 92711, 112736, 96492, 108453, 91005, 84323, 73496, 99274, 
151903, 197914, 156083, 130884, 145843, 189429, 184412, 215907, 103190, 147470, 
173035, 184354, 176262, 133219, 127422, 127381, 191526, 191038, 190642, 168525, 
226822, 176257, 136873, 133365, 155289, 141888, 183782, 159218, 186237, 195437, 
245100, 193671, 228344, 248970, 228230, 191131, 170194, 233795, 227286, 181192, 
237126, 187039, 260612, 241140, 190187, 268812, 259611, 213710, 214101, 262363, 
239827, 290797, 257165, 276435, 274318, 324935, 249818, 252608, 215715, 217077, 
