23270, 20108, 27176, 18660, 16230, 17011, 21673, 17666, 19737, 18661, 
38879, 38785, 36717, 44715, 37590, 43437, 33263, 35783, 39918, 37421, 
63392, 62559, 58751, 57817, 53730, 59004, 51996, 50516, 71027, 89344, 
143031, 77754, 82639, 95562, 76457, 87989, 77184, 81286, 89630, 82239, 
142760, 137679, 116991, 117639, 104993, 102941, 99040, 110176, 116863, 94293, 
151120, 122042, 148353, 156932, 109396, 137955, 139963, 159296, 177644, 129044, 
188336, 170630, 164194, 154153, 174208, 214910, 149163, 140184, 157666, 189935, 
183952, 181835, 179568, 180626, 223070, 198602, 193638, 152770, 168316, 183622, 
212823, 201374, 225661, 235504, 237565, 234629, 211645, 200596, 229161, 220368, 
255362, 245276, 240742, 242577, 212379, 232384, 235753, 266278, 239825, 232141, 
