29724, 39405, 27151, 24333, 18929, 20652, 23131, 21548, 24647, 23350, 
43170, 25494, 21033, 43067, 26747, 26848, 19995, 39857, 44927, 22194, 
50330, 47753, 36035, 44591, 55161, 30669, 42812, 43214, 36086, 37653, 
49805, 45902, 41198, 60699, 61019, 61194, 50371, 40166, 41245, 43407, 
51671, 57325, 50683, 108894, 52717, 47883, 66710, 68826, 65179, 59821, 
95352, 98687, 63556, 60784, 64038, 103342, 111824, 61428, 102535, 64124, 
80387, 69831, 141343, 89791, 84411, 119497, 69238, 72883, 134607, 114619, 
116673, 89115, 154992, 129549, 120928, 101940, 149766, 136419, 118454, 95443, 
94804, 138322, 181604, 128933, 131053, 135915, 105787, 138501, 134970, 131532, 
120712, 147525, 203771, 127365, 120159, 124577, 188849, 136162, 140447, 145572, 
