20767, 15906, 17029, 20719, 30187, 17007, 30081, 20041, 16261, 16017, 
36481, 55065, 38064, 54950, 46870, 44553, 35726, 57628, 49212, 43312, 
62626, 62032, 63797, 62176, 52600, 86549, 77093, 66189, 55416, 55283, 
86277, 129413, 160168, 138506, 139826, 218652, 105947, 91978, 94418, 135433, 
157685, 198721, 107150, 112822, 128663, 111766, 125686, 123306, 134527, 118573, 
164868, 177364, 127368, 149315, 223837, 156618, 133219, 129816, 172605, 129821, 
177300, 184198, 182417, 165882, 164939, 186092, 149265, 164226, 194792, 210477, 
191773, 190811, 212661, 220299, 224914, 178098, 274631, 217530, 248419, 166493, 
231827, 221955, 223906, 251666, 229499, 214786, 209195, 216990, 255781, 242046, 
353454, 273697, 240755, 339784, 264471, 257989, 315995, 264679, 293922, 272692, 
