26137, 21284, 22212, 22955, 17814, 21255, 22226, 20593, 31807, 21675, 
48991, 41059, 37257, 36329, 54252, 73439, 58327, 54916, 45270, 38319, 
70806, 121269, 133669, 106388, 101331, 68509, 64193, 81382, 70280, 68072, 
155842, 91047, 88224, 127563, 120123, 129430, 101980, 91597, 100128, 93212, 
121241, 129461, 133538, 250003, 160628, 139853, 223410, 243991, 212662, 301802, 
334503, 283015, 157933, 159337, 199766, 169274, 161548, 137117, 161603, 158895, 
233658, 179246, 199988, 266054, 220790, 295989, 199517, 241635, 204503, 207231, 
266394, 354966, 349758, 265150, 304462, 235350, 232297, 241858, 321955, 366117, 
395824, 302402, 284411, 258101, 273947, 233682, 254678, 264964, 262505, 233971, 
288376, 278759, 283815, 291898, 287577, 277271, 287133, 297291, 380697, 349731, 
