31322, 32054, 22867, 20789, 14210, 22711, 16828, 26448, 24487, 19201, 
40773, 44618, 50626, 57901, 37787, 41219, 66276, 41233, 45601, 54080, 
63790, 100755, 86757, 84125, 76723, 65463, 50627, 60576, 75999, 89088, 
69618, 124935, 149642, 87770, 115213, 91281, 99886, 74971, 96964, 132976, 
179443, 141373, 140283, 117929, 249171, 180343, 226669, 153423, 237653, 134215, 
303521, 178675, 274488, 146484, 185792, 234167, 136688, 118943, 221962, 257972, 
236939, 313553, 259998, 171136, 255448, 255932, 184910, 163694, 141938, 182679, 
296635, 166678, 206753, 304859, 226275, 214930, 338435, 248158, 176981, 229726, 
317762, 344878, 335447, 280617, 319262, 289328, 371705, 376670, 294886, 273332, 
386770, 297371, 273971, 406457, 360695, 362054, 393426, 300322, 374778, 306891, 
