27428, 18647, 23504, 27733, 21804, 20987, 19466, 18097, 18006, 25935, 
33075, 55603, 76111, 50742, 31875, 36198, 61792, 41447, 39171, 43958, 
102764, 64935, 82878, 56876, 82192, 91463, 108962, 65650, 64554, 54596, 
96508, 97111, 105307, 78884, 91793, 81848, 74313, 118798, 69979, 66901, 
130337, 115083, 84685, 84139, 82280, 119932, 121308, 89958, 89181, 136471, 
124059, 147399, 154013, 135985, 128085, 127949, 164382, 138172, 122449, 111891, 
190228, 152897, 164630, 216839, 144286, 172000, 208355, 154761, 137669, 169098, 
171961, 178375, 197639, 179213, 202118, 278871, 158761, 207432, 152108, 245846, 
191150, 208700, 239653, 192693, 211963, 203771, 224280, 237629, 237469, 216458, 
201330, 229718, 224590, 266202, 201900, 212070, 258383, 202412, 226063, 219462, 
