34298, 19108, 18545, 23352, 63625, 18917, 19015, 25451, 37448, 44160, 
42129, 34248, 45013, 54622, 64067, 34079, 63886, 73913, 59988, 32753, 
57909, 122620, 76589, 78925, 93231, 86298, 81794, 55856, 61348, 55427, 
87487, 105903, 75351, 71091, 101931, 100678, 97652, 96220, 71262, 84738, 
154353, 173976, 109004, 113769, 137742, 111085, 123177, 121190, 128606, 109412, 
110712, 203897, 208678, 138023, 146500, 156604, 139936, 125598, 109497, 134205, 
157993, 186628, 161664, 183698, 153922, 220553, 212766, 177507, 231718, 189308, 
265039, 161360, 258780, 236728, 233864, 228321, 245904, 183079, 202060, 161334, 
217877, 227870, 203666, 205233, 246249, 245081, 226704, 208241, 228590, 233592, 
256267, 240599, 229627, 194958, 282868, 273289, 291309, 206947, 250471, 260338, 
